"SuperClass","Class","Order","Family","Genus.species","SpecCode","BEl","VEp","REs","OGp","RMl","BLs","PFv","PFs","CPt","MBl","RMn","RMx","TLl","FHa","EHl","LHa","WLa","PCr","REp","EGt"
"Osteichthyes","Teleostei","Cypriniformes","Cobitidae","Misgurnus_anguillicaudatus",3016,7.60897435897436,0.429487179487179,0.228723404255319,0.448717948717949,0.772596083353181,0.602564102564103,0.153846153846154,0.119869355866691,0.940909090909091,28,6.74368327687781,607.352211984254,3.09999990463257,"2","0","1","3","1","6","2"
"Osteichthyes","Teleostei","Cypriniformes","Cobitidae","Misgurnus_dabryanus",17244,7.28445747800586,0.44574780058651,0.283653846153846,0.146627565982405,0.822241893100341,0.609970674486804,0.293255131964809,0.111322408719107,0.651376146788991,21.5,6.74368327687781,607.352211984254,3.22000002861023,"2","1","1","3","1","3","2"
"Osteichthyes","Teleostei","Cypriniformes","Gastromyzontidae","Vanmanenia_stenosoma",60134,5.64179104477612,0.400497512437811,0.304526748971193,0.221393034825871,0.707052892013646,0.604477611940298,0.18407960199005,0.148371063500549,1.84848484848485,8.60000038146973,10.2732703150101,1741.82236566656,2.63000011444092,"2","0","2","3","1","3","3"
"Osteichthyes","Teleostei","Cypriniformes","Balitoridae","Vanmanenia_aff.Maculata",NA,4.2007874015748,0.372047244094488,0.212418300653595,0.228346456692913,0.857038215582562,0.602362204724409,0.122047244094488,0.208633336157321,1.97101449275362,9.48194230886572,8.1348520719483,920.912365853367,3.02397626236825,"2","0","2","3","1","3","3"
"Osteichthyes","Teleostei","Cypriniformes","Gastromyzontidae","Vanmanenia_gymnetrus",55020,5.62213740458015,0.396946564885496,0.270114942528736,0.103053435114504,0.907627577112063,0.66412213740458,0.0267175572519085,0.262159258897969,3.41573033707865,9.77999973297119,10.4478740090275,1798.55723967482,2.59999990463257,"2","1","2","3","1","3","3"
"Osteichthyes","Teleostei","Cypriniformes","Gastromyzontidae","Vanmanenia_caldwelli",60131,5.41309255079007,0.480812641083521,0.225589225589226,0.683972911963883,0.585297149614761,0.670428893905192,0.372460496613995,0.166309729796574,2.26406926406926,7.19999980926514,10.1038048309401,1686.08692513281,2.67000007629395,"2","0","2","3","1","3","3"
"Osteichthyes","Teleostei","Cypriniformes","Gastromyzontidae","Pseudogastromyzon_fasciatus",60900,5.06422018348624,0.495412844036697,0.337349397590361,0.100917431192661,0.789409506066563,0.761467889908257,0.0825688073394495,0.304692696255487,1.12903225806452,8.19999980926514,10.2732703150101,1741.82236566656,2.64000010490417,"2","0","2","3","1","3","3"
"Osteichthyes","Teleostei","Cypriniformes","Gastromyzontidae","Pseudogastromyzon_changtingensis",55026,5.15261958997722,0.521640091116173,0.210884353741497,0.129840546697039,0.482813514531677,0.669703872437358,0.0728929384965831,0.308334758725912,1.48953974895397,7.69999980926514,10.1038048309401,1686.08692513281,2.70000004768372,"2","0","2","3","1","3","3"
"Osteichthyes","Teleostei","Cypriniformes","Gastromyzontidae","Pseudogastromyzon_fangi",55024,4.22784810126582,0.489451476793249,0.14018691588785,0.0443037974683544,0.920978722891124,0.90295358649789,0.0675105485232068,0.300995422936143,1.78947368421053,10,10.2732703150101,1741.82236566656,2.64000010490417,"2","0","2","3","1","3","3"
"Osteichthyes","Teleostei","Cypriniformes","Gastromyzontidae","Formosania_paucisquama",55021,5.91176470588235,0.5,0.289256198347107,0,0,0.711764705882353,0.394117647058824,0.252242240450776,0.87012987012987,6,10.1038048309401,1686.08692513281,2.71000003814697,"2","1","2","3","1","3","3"
