"Basin","Species","Delta_FRic","Delta_FEve","Delta_FDiv","Delta_FRed"
"2","Cobitis_macrostigma",3.28619298414209e-05,0.000672626932427423,-0.000587169770755569,0.0145184398093292
"2","Misgurnus_anguillicaudatus",1.12515805372883e-06,-0.000631313071639272,-0.0010929251270515,0.203127349928327
"2","Misgurnus_dabryanus",2.25852148316371e-05,0.000923519790139493,-0.000652543713657305,-0.0307381729183778
"2","Vanmanenia_stenosoma",2.56169866360446e-06,-0.000514062437320773,-4.7943333738143e-05,0.125906661916366
"2","Vanmanenia_aff.Maculata",4.29827899745903e-07,-0.000459460006880352,0.000264688212399111,0.105761295954315
"2","Vanmanenia_gymnetrus",3.25139739225789e-05,0.000608668011067404,0.000245767672206965,-0.0396672747941818
"2","Pseudogastromyzon_changtingensis",1.70462408553547e-06,-0.000118336645697825,0.00150027353249349,0.0186762548929131
"2","Pseudogastromyzon_fangi",2.91067979996925e-05,0.000148516087506823,-0.000834672049332297,-0.0266347466863657
"2","Formosania_paucisquama",1.36700395895421e-05,0.000495914785254292,0.00105340989387792,-0.0221049538686025
"2","Schistura_incerta",1.66761446006467e-07,-0.00039332651621049,-9.63667991596973e-05,0.0237281223057604
"2","Schistura_fasciolata",4.83524576386747e-08,-0.00043051569226793,-0.000335538750454778,0.0294090360552541
"2","Oreonectes_platycephalus",1.01067543034222e-08,-0.000794327853210208,-0.00100641998611672,0.270169704624868
"2","Traccatichthys_pulcher",1.05731919210946e-06,-0.0004171037830214,-0.00163519708369875,0.0460116780350024
"2","Spinibarbus_caldwelli",5.32531428188953e-07,-0.000549159016730916,-0.00201595739492122,0.172552720154631
"2","Acrossocheilus_kreyenbergii",1.93046278241626e-06,-0.000508603068450131,-0.000295089599568921,0.130551110893116
"2","Acrossocheilus_parallens",2.36567125639564e-06,-0.000458371489544362,-0.000175208073864508,0.123724190911242
"2","Onychostoma_virgulatum",3.19926035504013e-08,-0.000719806980025495,-0.00136832037341361,0.248160492354613
"2","Onychostoma_brevibarba",0,-0.000788793837703194,-0.00177949979029735,0.249665095573661
"2","Onychostoma_lini",2.78537058869934e-05,0.000235880933239174,-0.000273967649726758,0.0107451427259875
"2","Folifer_brevifilis",5.0487600373351e-06,-0.000246277689892105,-0.000613165523463577,0.0425931797070511
